motivo_abandono_empresa,mejoras_para_reduccion_rotacion,comentarios_experiencia_empresa,factores_externos_opciones
"Me siento frustrada porque me exigen resultados y ser responsable si algo no sale bien, pero, al mismo tiempo, todos se sienten con el derecho de opinar sobre mi area de trabajo. cuando indico que algo no puede realizarse porque afecta fiscalmente, mis opiniones son ignoradas, y, en lugar de ser escuchada, me tachan de agresiva. esto genera un ambiente dificil, donde mis responsabilidades no se reflejan en los derechos que deberia tener para tomar decisiones en mi area.","Considero que seria importante establecer limites en cuanto a las opiniones y cambios sobre areas que no estan a su cargo. ademas, seria beneficioso contar con un gerente general que sea el encargado de tomar las decisiones finales en estos temas. esto contribuiria a que cada area tenga la autonomia y el respeto necesarios para funcionar de manera mas eficiente, reduciendo posibles conflictos y aumentando la satisfaccion laboral.","El ambiente laboral, los constantes cambios de procesos, la carga de trabajo y la falta de reconocimiento son factores clave que afectan mi experiencia en la empresa. estos aspectos dificultan la motivacion y el compromiso, ya que no se percibe el apoyo necesario ni un ambiente que valore el esfuerzo realizado.","Oferta laboral en otras empresas, Salario poco competitivo en el mercado, Condiciones economicas generales, Falta de oportunidades de crecimiento profesional, Ambiente laboral"
"Asumir responsabilidades sin falta de capacitacion y a su vez, de errores por terceros que pudieron ser evitados que previamente fueron expuestos","Delimitar alcances dentro de las funsiones de la direccion, imparcialidad e vitar el conflicto de interes en la toma de deciciones ","Conflicto de intereses entre la direccion, falta de transparencia y etica laboral, la directriz cambia sin previo aviso y la comunicacion no es eficiente","Oferta laboral en otras empresas, Distancia entre casa y trabajo, Salario poco competitivo en el mercado, Condiciones economicas generales, Falta de oportunidades de crecimiento profesional, Ambiente laboral, Factores personales"
Falta de reconocimiento y recompensa (no monetaria solamente) ,Reconocimiento con premios aunque no sean monetarios y mas empatia a todas las areas,En general no es malo el trabajo solo que la moral de los equipos se baja por la falta de reconocimiento en algunos niveles y la falta de empatia de unos a otros,"Oferta laboral en otras empresas, Distancia entre casa y trabajo, Falta de transporte adecuado, Salario poco competitivo en el mercado, Condiciones economicas generales, Ambiente laboral, Factores personales"
Para obtener un salario mayor al que recibo.,"Mejores salarios, tomar en cuenta la experiencia y formacion profesional del personal.","El ambiente laboral me agrada bastante y creo que el horario es adecuado, en terminos generales me gusta trabajar en insco.

sin embargo, me gustaria que se tomara mas en cuenta la experiencia y formacion profesional de los trabajadores y se les remunerara con base en ello, ya que considero que el salario es bajo.","Oferta laboral en otras empresas, Condiciones economicas generales, Falta de oportunidades de crecimiento profesional"
,Mejoras en los salarios,,
,"Mejores salarios, definicion de funciones y responsabilidades claras en cada uno de los puestos de trabajo",,
,Contratacion de personal competente,,
,"Mejor observacion en el proceso de contratacion. incentivos (tiempo, salario, reconocimientos, etc.). mejorar el ambiente laboral (comunicacion, participacion de los colaboradores en algunas tomas de desiciones). crecimientos profesional basado en resultados.","En general estoy agusto con las actividades que desempeno. en algun momento tuve la inquietud de renunciar, por conflictos con el jefe directo, sin embargo, una situacion familiar me detuvo, pude manejar la situacion, no obstante fue un proceso un poco largo y con mucho estres. ","Responsabilidades familiares, Condiciones economicas generales"
,Mas prestaciones,Ninguna,
Por crecimiento profesional y economico ,"Incluir mas prestaciones como caja de ahorro, cubrir las vacantes de manera rapida para no sobrecargar el trabajo de los empleados que se quedan ","Considero importante que se tome en cuenta la opinion de los empleados, tanto los que renuncian como los que se quedan, ya que la decision de los que han renunciado es la principal causa de rotacion de personal y si se considera y se realiza un estudio, es muy probable que sea una causa comun, como el acoso laboral, el salario recibido, las horas de trabajo, etc., si existiera un registro se podria analizar una frecuencia del motivo de renuncia y es mas facil tomar una accion correctiva","Distancia entre casa y trabajo, Responsabilidades familiares, Condiciones economicas generales"
